set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
LiZS,Freelance,Epidemiologist,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,21–30 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
Pmwr,Employee,Leading Specialist,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,Design of advertisement about surveys
ZYPP,Employee,Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,None,None,[^not chosen]
tqLU,Freelance,Insight Provider,More than 30,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
DwsJ,Employee,"Team Lead, Analysis",1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
ZtFn,Employee,Research Manager,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,[^not chosen]
IwtB,EmployeeAND,Senior Data Scientist,More than 30,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,6–10 hours,6–10 hours,[^not chosen],6–10 hours,5 hours or less,6–10 hours,Working with partner/client
SjVv,Employee,Visual Communications Analyst,21-25,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,None,[^not chosen]
JkXc,Hobbyist,Research Scientist,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,None,None,[^not chosen]
uhde,Employee,Human Resources Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
wSlf,Employee,Senior Health Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Researching in preparation
nCul,Freelance,Data Visualization Engineer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,None,None,[^not chosen]
BApH,Employee,Director of Operational Analytics,6-10,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,[^not chosen],[^not chosen]
LdaO,EmployeeANDFreelanceAND,Data Engagement Specialist,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
kheq,Employee,"Director, Talent Analytics",1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,[^not answered]
FJbk,Employee,CEO,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,11–20 hours,[^not chosen],[^not chosen]
ckxv,Employee,Senior Data Analyst,11-15,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,None,[^not chosen]
Uxsy,Employee,Data Visualization Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,6–10 hours,6–10 hours,None,11–20 hours,None,[^not chosen],[^not chosen]
llzP,Employee,"Director, Data Science and Analytics",11-15,3,x,x,[^not chosen],x,[^not chosen],51–60 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
Vwog,EmployeeAND,Finance Analytics Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,"Creative outline, thinking of best use cases"
TnLS,Employee,Director of Informatics,16-20,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,21–30 hours,[^not chosen],[^not chosen]
LqwQ,EmployeeANDFreelance,Director of Custom Services,More than 30,4,x,x,x,x,[^not chosen],41–50 hours,5 hours or less,6–10 hours,None,5 hours or less,11–20 hours,5 hours or less,[^not answered]
bZcX,Hobbyist,[^not answered],1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,[^not chosen],[^not chosen],[^not chosen]
QGHg,Employee,Solution Leader,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,Business development; leadership
owog,OtherCombo,Software Engineer,Less than 1 year,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,6–10 hours,6–10 hours,6–10 hours,11–20 hours,6–10 hours,11–20 hours,[^not answered]
UQev,Hobbyist,Business Intelligence Analyst,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
InJm,Employee,Senior Data Analyst/Visualization Engineer,6-10,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],More than 70 hours,More than 30 hours,6–10 hours,11–20 hours,5 hours or less,None,None,[^not chosen]
fhHG,EmployeeAND,Public Health Communications Researcher,11-15,2,[^not chosen],x,x,[^not chosen],[^not chosen],51–60 hours,5 hours or less,5 hours or less,None,None,None,None,[^not chosen]
YMqw,Employee,Manufacturing Analyst,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,[^not chosen]
