set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
WQOR,Employee,"Manager, Data and Products",11-15,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,More than 30 hours,None,[^not chosen]
RWeH,FreelanceAND,Data Visualization Designer,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,None,None,[^not chosen]
jVRP,Employee,Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,11–20 hours,6–10 hours,None,11–20 hours,[^not answered]
DvcF,Employee,Software Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,6–10 hours,11–20 hours,5 hours or less,5 hours or less,[^not answered]
Grdj,Freelance,Content strategist,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,None,None,5 hours or less,None,None,None,[^not chosen]
hPYR,Employee,Lead BI Developer,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,None,6–10 hours,5 hours or less,None,[^not chosen]
EUhv,Employee,Global head of graphics,16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,5 hours or less,More than 30 hours,[^not chosen],[^not chosen]
FEqi,Employee,Project evaluator,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,None,None,None,None,[^not chosen]
opev,Freelance,Founder,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,None,None,None,5 hours or less,None,None,[^not chosen]
mzIC,Employee,Senior Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,None,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
UNaX,Student,PhD Student,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
WEzc,Employee,Scientist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,None,5 hours or less,None,None,[^not chosen]
KfIZ,EmployeeANDFreelance,Consultant,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20 hours or less,None,None,None,None,None,None,[^not chosen]
xXkm,Academic,Researcher,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,5 hours or less,None,None,None,[^not chosen]
IPVs,Employee,"Consultant, Evaluation and Learning",6-10,4,x,x,x,[^not chosen],Charitable foundations,31–40 hours,None,None,None,None,5 hours or less,5 hours or less,Developing Gantt charts
njPd,Employee,"Manager, Data Science",11-15,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],51–60 hours,None,None,5 hours or less,5 hours or less,More than 30 hours,None,[^not chosen]
IaCf,Employee,Grant Operations Manager,11-15,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,None,5 hours or less,[^not answered]
BkmK,Employee,Design & Production Lead,6-10,4,x,x,x,x,[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
auLO,EmployeeAND,Grants and Operations Coordinator,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,None,5 hours or less,None,[^not chosen],[^not chosen]
FUTh,EmployeeAND,Principal Information Analyst,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,11–20 hours,None,None,[^not chosen]
FwRq,EmployeeAND,Visual Storyteller,Less than 1 year,2,[^not chosen],x,x,[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,6–10 hours,5 hours or less,None,[^not chosen]
JlQS,Academic,Professor,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,None,None,None,None,[^not chosen]
mffN,Employee,VP Design and UR,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,None,6–10 hours,5 hours or less,11–20 hours,5 hours or less,Prototyping data interactions and perceptions
adQp,Academic,Associate Professor,16-20,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,None,None,None,None,5 hours or less,[^not answered]
wyEK,FreelanceAND,PhD Student,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,None,None,6–10 hours,21–30 hours,6–10 hours,None,[^not chosen]
ihzN,EmployeeAND,Senior Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,6–10 hours,6–10 hours,11–20 hours,[^not chosen],[^not chosen]
swzk,Employee,Visual Communications Consultant,6-10,3,x,x,x,[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
FrPx,Employee,Senior Design Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,6–10 hours,None,[^not chosen],[^not chosen]
pVrT,EmployeeAND,End-User Lead,1-5,2,x,[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,None,None,[^not chosen]
JsfK,Employee,Product Designer,Less than 1 year,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],51–60 hours,None,None,5 hours or less,5 hours or less,None,None,[^not chosen]
QQGt,Employee,Data visualisation producer,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
zwTt,Freelance,[^not answered],1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,None,5 hours or less,None,5 hours or less,[^not chosen],[^not chosen]
uSDf,Employee,Principal Data Visualisation Producer,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,11–20 hours,6–10 hours,11–20 hours,None,[^not chosen]
GMIS,Employee,Senior Vice President,More than 30,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,None,None,None,None,None,None,[^not chosen]
OTAR,EmployeeANDFreelance,Digital Designer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,11–20 hours,6–10 hours,5 hours or less,11–20 hours,Prototyping in Figma
IvlB,Student,PhD Student,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,5 hours or less,5 hours or less,None,None,[^not chosen]
JBig,Employee,Data Scientist,11-15,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,None,None,None,More than 30 hours,Training
sPBI,Employee,Presentation Designer,21-25,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,21–30 hours,6–10 hours,[^not chosen],[^not chosen]
qwiw,Employee,Associate Art Director,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,6–10 hours,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
FWCq,EmployeeANDFreelanceAND,Multimedia Developer,16-20,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
PmOS,EmployeeAND,Head of Software; Faculty,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,None,21–30 hours,5 hours or less,None,[^not chosen]
LROK,EmployeeAND,Graphic Designer,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,None,None,None,None,[^not chosen]
FylQ,Employee,Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,21–30 hours,None,None,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
iGJv,EmployeeAND,Senior Data Visualization Designer,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,None,5 hours or less,None,[^not chosen]
SIfM,Freelance,Data Visualisation Specialist,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,6–10 hours,None,11–20 hours,6–10 hours,6–10 hours,[^not chosen],[^not chosen]
lGMV,Employee,Data Visualization Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,None,None,6–10 hours,11–20 hours,None,[^not chosen]
gOdI,EmployeeAND,Data Visualization and UX Consultant,1-5,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,None,[^not chosen],More than 30 hours,giving training; preparing content for training; preparing presentations;
cnlL,Employee,Senior Communications Specialist,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],51–60 hours,5 hours or less,None,11–20 hours,21–30 hours,None,None,[^not chosen]
yVRZ,Employee,Associate software engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,None,None,5 hours or less,11–20 hours,6–10 hours,None,[^not chosen]
gJhK,Employee,"Consultant, Graphics and Technical Communuications",16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,6–10 hours,None,21–30 hours,Attending meetings; project managment; general administrative tasks; non- data viz graphic design
BAQP,Employee,Lead graphic designer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,None,21–30 hours,None,None,[^not chosen]
swVF,Hobbyist,Product Engineer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,None,None,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
tqep,EmployeeANDFreelance,Data Visualization Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,None,6–10 hours,None,11–20 hours,None,[^not chosen]
xCxk,Academic,Post Doctoral Fellow,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,6–10 hours,None,None,More than 30 hours,[^not answered]
kowI,Employee,n/a,6-10,2,x,x,[^not chosen],[^not chosen],[^not chosen],61–70 hours,None,None,None,11–20 hours,More than 30 hours,11–20 hours,product management
GXrK,Employee,GIS Analyst II,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,21–30 hours,None,None,None,5 hours or less,[^not chosen],[^not chosen]
IEaC,Employee,Data Visualization Developer,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],21–30 hours,6–10 hours,None,5 hours or less,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
qtSB,Academic,Research Associate,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,5 hours or less,None,5 hours or less,None,[^not chosen]
mNEt,FreelanceAND,Visual Information Designer and Consultant,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,None,None,6–10 hours,6–10 hours,6–10 hours,[^not chosen],[^not chosen]
ixll,Employee,Research Associate,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,6–10 hours,None,6–10 hours,6–10 hours,6–10 hours,None,[^not chosen]
XNyI,Employee,Data Viz Specialist,6-10,4,x,x,x,x,[^not chosen],31–40 hours,5 hours or less,None,11–20 hours,11–20 hours,5 hours or less,5 hours or less,[^not answered]
tdZP,Hobbyist,Researcher,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,5 hours or less,5 hours or less,None,[^not chosen],[^not chosen]
tSPR,Employee,Lead Visualization Designer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,11–20 hours,11–20 hours,None,[^not chosen]
kuiR,EmployeeAND,Engineering Manager,6-10,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
HcfM,Employee,Researcher,16-20,2,x,[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,None,None,6–10 hours,11–20 hours,5 hours or less,6–10 hours,Tutoring; administrative work (directory set-up etc); discussions / meetings
QFKi,Employee,Visual Journalist,1-5,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Other (please specify and use semicolons (;) to separate distinct items),31–40 hours,None,None,None,21–30 hours,5 hours or less,None,[^not chosen]
jWUV,Employee,"Product Manager, Data Visualization",16-20,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,None,5 hours or less,None,More than 30 hours,None,[^not chosen]
paQv,Hobbyist,Senior Training Specialist,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,None,None,None,None,[^not chosen]
AUTp,Employee,Dashboard and Data Visualisation Designer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,6–10 hours,None,21–30 hours,"Creating marketing materials, designing presentation slides"
KsBU,Freelance,Director,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,None,None,None,5 hours or less,None,None,[^not chosen]
oBCK,Employee,Research Data Analyst,1-5,2,x,[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,None,None,5 hours or less,None,None,[^not chosen],[^not chosen]
HXNl,Employee,Technical Communications Specialist,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,None,5 hours or less,More than 30 hours,6–10 hours,None,[^not chosen]
Nvcf,Employee,Research Analyst,1-5,2,[^not chosen],x,[^not chosen],[^not chosen],Government Contractor,41–50 hours,None,None,None,None,None,None,[^not chosen]
duIV,Employee,Senior Business Intelligence Developer,6-10,2,[^not chosen],x,x,[^not chosen],[^not chosen],31–40 hours,21–30 hours,None,None,6–10 hours,None,None,[^not chosen]
Ijgi,Employee,Head of Communications,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,None,5 hours or less,11–20 hours,None,[^not chosen]
fxbp,Student,Graduate Research Assistant,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
jpHb,Freelance,Founder,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,None,5 hours or less,6–10 hours,None,None,[^not chosen]
pEeg,Employee,Visual Journalist,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,More than 30 hours,More than 30 hours,21–30 hours,6–10 hours,Project managing; interviewing experts
nIoG,Employee,Full stack product developer,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,5 hours or less,6–10 hours,None,None,[^not chosen]
kzMn,Freelance,data illustrator,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,None,5 hours or less,None,None,5 hours or less,preparing a presentation
JAuG,EmployeeAND,Graphic Designer,Less than 1 year,3,x,x,x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,6–10 hours,5 hours or less,5 hours or less,More than 30 hours,Ihrer graphic Design work
zaHo,Employee,Creative editor,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,None,None,None,None,[^not chosen]
brOk,EmployeeANDFreelanceAND,Graphic Designer,11-15,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,None,None,[^not chosen]
jWvI,Hobbyist,"Sr Manager, Data Solutions",6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,6–10 hours,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
iUKK,Employee,Engineering Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],51–60 hours,None,None,None,6–10 hours,More than 30 hours,None,[^not chosen]
GjFq,FreelanceAND,Business Analyst,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,None,None,5 hours or less,5 hours or less,5 hours or less,"Teaching, content creation"
sYOg,Employee,Data Visualization Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,None,6–10 hours,None,None,None,[^not chosen]
ritV,Employee,Lead Analyst - Data Communications,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,5 hours or less,5 hours or less,None,[^not chosen]
PUhj,EmployeeAND,Designer,1-5,2,x,[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,None,None,[^not chosen]
ZVBq,EmployeeAND,Art Director,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,None,5 hours or less,11–20 hours,None,[^not chosen],[^not chosen]
igLY,Employee,Epidemiologist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,5 hours or less,6–10 hours,None,None,[^not chosen]
HrsU,Employee,"Officer, Planning & Evaluation",6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,None,5 hours or less,5 hours or less,None,[^not chosen],[^not chosen]
TRpS,Employee,Data Scientist,1-5,2,x,x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,None,None,None,None,None,None,[^not chosen]
kFnf,Employee,Senior Designer – Visual Communication,More than 30,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,6–10 hours,6–10 hours,[^not chosen],21–30 hours,Non data visualization related projects
uuKD,EmployeeAND,Web Developer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,None,None,21–30 hours,6–10 hours,None,[^not chosen]
KVIN,Employee,Consultant,11-15,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],B2B,More than 70 hours,More than 30 hours,More than 30 hours,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
CPMG,Employee,Finance Director,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,11–20 hours,More than 30 hours,None,5 hours or less,5 hours or less,None,[^not chosen]
GzmX,Employee,Planning Analyst,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],More than 70 hours,More than 30 hours,More than 30 hours,6–10 hours,21–30 hours,None,None,[^not chosen]
RXyU,Student,Master student in Data Science ,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,11–20 hours,6–10 hours,5 hours or less,11–20 hours,None,None,[^not chosen]
AhKk,Employee,"director, research, analytics, and visualization",1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,loads of other things to manage people and projects
Oziy,EmployeeANDFreelanceAND,Senior Business Intelligence Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"User interviews, testing, card sortings, collaboration meetings, presenting results"
NYvE,Employee,Senior Data Analyst,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,6–10 hours,None,11–20 hours,5 hours or less,None,[^not chosen]
ifIS,Employee,Research Associate,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,[^not chosen],6–10 hours,[^not chosen],6–10 hours,11–20 hours,11–20 hours,[^not answered]
oGTl,EmployeeAND,Research Coordinator,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,11–20 hours,6–10 hours,None,5 hours or less,None,None,[^not chosen]
VTmW,EmployeeAND,Manager Financial reporting and analysis,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
JyPl,Employee,Data Scientist,1,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,6–10 hours,6–10 hours,None,5 hours or less,None,None,[^not chosen]
fRvg,EmployeeAND,Journalist,1,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],More than 70 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,11–20 hours,webdev and writting
BKaV,Employee,"Team Lead, Data Engineering",1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,21–30 hours,5 hours or less,Dashboard maintenance; web dev; styling
eqqp,EmployeeANDFreelance,Tableau Platform Expert,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,21–30 hours,[^not chosen],[^not chosen]
WPSl,Academic,[^not answered],Less than 1 year,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,11–20 hours,6–10 hours,11–20 hours,6–10 hours,11–20 hours,None,[^not chosen]
dVGJ,EmployeeANDFreelanceAND,Senior Financial Economist,21-25,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],51–60 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,5 hours or less,Reviewing previous reports
ncwO,Employee,Business Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,6–10 hours,[^not chosen],[^not chosen]
ZbEs,Employee,Senior Data Analyst,11-15,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,None,[^not chosen]
vbEw,Employee,Data Analyst,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,6–10 hours,[^not chosen],5 hours or less,[^not chosen],[^not chosen],[^not chosen]
MGiC,Employee,Reseach Coordinator,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,6–10 hours,6–10 hours,None,5 hours or less,None,None,[^not chosen]
uVZP,EmployeeAND,"Senior Designer, Data Visualization",1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,11–20 hours,11–20 hours,6–10 hours,[^not chosen],[^not chosen]
QBWx,Employee,Director of Business Intelligence,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
UkoY,Employee,"Director, Institutional Assessment",6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,None,5 hours or less,None,None,[^not chosen]
DGJE,Employee,Data Visualization Specialist,6-10,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,6–10 hours,6–10 hours,5 hours or less,21–30 hours,5 hours or less,[^not chosen],[^not chosen]
GQuF,Hobbyist,[^not answered],1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,None,[^not chosen]
HRFJ,EmployeeANDFreelanceAND,Electronic and Data Services Librarian,11-15,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Documentation
aSsa,Academic,Researcher,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,None,[^not chosen]
UzLv,EmployeeANDFreelance,Business Intelligence Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
EyQQ,Employee,Senior lead analytics consultant,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,None,11–20 hours,6–10 hours,[^not chosen],[^not chosen]
Ptpv,Freelance,Data Designer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
RJZZ,Employee,Business Intelligence Analyst,6-10,2,x,[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,None,[^not chosen]
bzZB,Employee,Impact and Evaluation,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,None,None,[^not chosen]
mIKz,EmployeeAND,Senior Analytics Consultant,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,presenting my visualizations at a conference; live q&a with end users; receiving critique/feedback; collaboration with software product leaders; product research & development
MfjW,Employee,Consultant Analytics,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,None,5 hours or less,None,[^not chosen]
DEvP,Employee,Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,6–10 hours,None,[^not chosen]
mfur,Employee,"VP, Head of Data Visualization and Storytelling",6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,Coaching; presenting; meetings
AEbW,Employee,Data Visualization Engineer,6-10,2,x,[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
jSrf,Employee,Product Manager,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Troubleshooting embedding issues; tweaking designs; updating data; configuring the narrative
beVh,Employee,Monitoring & Evaluation Coordinator,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],51–60 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,None,[^not chosen]
nfTI,EmployeeAND,[^not answered],11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,6–10 hours,None,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
uAHU,Skipped question,DA,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,6–10 hours,6–10 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,Iterating the dashboard design
